Title,Year,Conference,Subfield,Authors,Author_Institutions,Author_Countries,Status,Track,Citations
A Decade of Scholarly Research on Open Knowledge Graphs,2024,COLING,Computational Linguistics,Houcemeddine Turki; Abraham Toluwase Owodunni; Mohamed Ali Hadj Taieb; René Fabrice Bile; Mohamed Ben Aouicha,"Data Engineering and Semantics Research Unit, University of Sfax, Sfax, Tunisia + SisonkeBiotik Research Community, Johannesburg, South Africa + University of the People, Pasadena, California, United States of America; Masakhane, Abuja, Nigeria + SisonkeBiotik Research Community, Johannesburg, South Africa; Data Engineering and Semantics Research Unit, University of Sfax, Sfax, Tunisia + SisonkeBiotik Research Community, Johannesburg, South Africa; National Polytechnic School of Maroua, University of Maroua, Maroua, Cameroon + SisonkeBiotik Research Community, Johannesburg, South Africa; Data Engineering and Semantics Research Unit, University of Sfax, Sfax, Tunisia + SisonkeBiotik Research Community, Johannesburg, South Africa",Tunisia;South Africa;United States;Nigeria;Cameroon,Main,main,2
ASEM: Enhancing Empathy in Chatbot through Attention-based Sentiment and Emotion Modeling,2024,COLING,Computational Linguistics,Omama Hamad; Khaled Shaban; Ali Hamdi,"Qatar University, Department of Computer Science and Engineering, Qatar; MSA University, Department of Computer Science, Egypt; Qatar University, Department of Computer Science and Engineering, Qatar",Qatar;Egypt,Main,main,10
Automatic Partitioning of a Code-Switched Speech Corpus Using Mixed-Integer Programming,2024,COLING,Computational Linguistics,Joshua Miles Jansen van Vüren; Febe de Wet; Thomas Niesler,"Department of Electrical and Electronic Engineering, Stellenbosch University, Stellenbosch, South Africa; Department of Electrical and Electronic Engineering, Stellenbosch University, Stellenbosch, South Africa; Department of Electrical and Electronic Engineering, Stellenbosch University, Stellenbosch, South Africa",South Africa,Main,main,0
Camel Morph MSA: A Large-Scale Open-Source Morphological Analyzer for Modern Standard Arabic,2024,COLING,Computational Linguistics,Christian Khairallah; Salam Khalifa; Reham Marzouk; Mayar Nassar; Nizar Habash,New York University Abu Dhabi+Computational Approaches to Modeling Language (CAMeL) Lab; New York University Abu Dhabi+Stony Brook University+Computational Approaches to Modeling Language (CAMeL) Lab; New York University Abu Dhabi+Alexandria University+Computational Approaches to Modeling Language (CAMeL) Lab; New York University Abu Dhabi+Ain Shams University+Computational Approaches to Modeling Language (CAMeL) Lab; New York University Abu Dhabi+Computational Approaches to Modeling Language (CAMeL) Lab,United Arab Emirates;United States;Egypt,Main,main,2
Depth-Wise Attention (DWAtt): A Layer Fusion Method for Data-Efficient Classification,2024,COLING,Computational Linguistics,Muhammad ElNokrashy; Badr AlKhamissi; Mona Diab,Microsoft Egypt; EPFL+Meta AI; CMU+Meta AI,Egypt;Switzerland;United States,Main,main,5
Developing a Benchmark for Pronunciation Feedback: Creation of a Phonemically Annotated Speech Corpus of isiZulu Language Learner Speech,2024,COLING,Computational Linguistics,Alexandra O’Neil; Nils Hjortnaes; Francis Tyers; Zinhle Nkosi; Thulile Ndlovu; Zanele Mlondo; Ngami Phumzile Pewa,"Indiana University, Bloomington, IN USA; Indiana University, Bloomington, IN USA; University of KwaZulu-Natal, Durban, South Africa; University of KwaZulu-Natal, Durban, South Africa; University of KwaZulu-Natal, Durban, South Africa; University of KwaZulu-Natal, Durban, South Africa; Indiana University, Bloomington, IN USA",United States;South Africa,Main,main,0
Did You Get It? A Zero-Shot Approach to Locate Information Transfers in Conversations,2024,COLING,Computational Linguistics,Eliot Maës; Hossam Boudraa; Philippe Blache; Leonor Becerra-Bonache,"Aix Marseille Univ, CNRS, LIS, Marseille, France; Aix Marseille Univ, CNRS, LIS, Marseille, France + Department of Computer Science, Faculty of Sciences Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Aix Marseille Univ, CNRS, LPL, Aix-en-Provence, France; Aix Marseille Univ, CNRS, LIS, Marseille, France",France;Morocco,Main,main,0
FFSTC: Fongbe to French Speech Translation Corpus,2024,COLING,Computational Linguistics,D. Fortuné Kponou; Fréjus A. A. Laleye; Eugène Cokou Ezin,"Institut de Mathématiques et de Sciences Physiques, Dangbo, Bénin; OPSCIDIA, Paris, France; Institut de Mathématiques et de Sciences Physiques, Dangbo, Bénin",Benin;France,Main,main,0
Knowledge GeoGebra: Leveraging Geometry of Relation Embeddings in Knowledge Graph Completion,2024,COLING,Computational Linguistics,Kossi Amouzouvi; Bowen Song; Sahar Vahdati; Jens Lehmann,"ScaDS.AI Center, TU Dresden, Germany + Department of Mathematics, KNUST, Kumasi, Ghana; School of Computer Science China University of Geosciences (Wuhan); ScaDS.AI Center, TU Dresden, Germany; ScaDS.AI Center, TU Dresden, Germany + Amazon (work done outside of Amazon)",Germany;Ghana;China;United States,Main,main,6
NGLUEni: Benchmarking and Adapting Pretrained Language Models for Nguni Languages,2024,COLING,Computational Linguistics,Francois Meyer; Haiyue Song; Abhisek Chakrabarty; Jan Buys; Raj Dabre; Hideki Tanaka,"Department of Computer Science, University of Cape Town2; National Institute of Information and Communications Technology1; National Institute of Information and Communications Technology1; Department of Computer Science, University of Cape Town2; National Institute of Information and Communications Technology1; National Institute of Information and Communications Technology1",South Africa;Japan,Main,main,1
